Point Name,Northing (Y),Easting (X),Elevation (Z),Point Code
P1,2932774.461,423575.89,128.011,CP1
101,2932780.062,423511.995,128.176,TR
102,2932782.074,423517.943,128.162,TR
103,2932787.387,423481.481,127.363,TR
104,2932786.648,423478.227,127.66,TR
105,2932791.207,423476.981,127.308,TR
106,2932787.494,423477.671,127.626,EB
107,2932788.087,423484.245,127.085,FH
108,2932783.486,423508.825,127.47,FH
109,2932787.269,423483.016,128.028,SL
110,2932787.158,423490.642,127.988,BE
111,2932787.114,423505.943,127.981,BE
112,2932787.001,423511.006,127.938,BE
113,2932786.945,423484.155,126.542,GR
114,2932787.094,423485.497,126.505,GR
115,2932793.078,423479.877,126.507,GR
116,2932785.76,423488.995,126.687,GR
117,2932780.283,423480.746,126.723,GR
118,2932789.096,423473.821,126.691,GR
119,2932788.869,423472.717,126.702,GR
P2,2932782.271,423474.335,128.221,CP2
P3,2932816.414,423469.654,127.899,CP3
139,2932861.205,423467.261,126.906,TR
140,2932852.807,423468.287,127.086,TR
141,2932852.144,423468.965,127.126,TR
142,2932844.703,423469.78,127.325,TR
143,2932849.559,423470.55,127.225,TR
144,2932834.9,423472.669,127.522,TR
145,2932863.942,423481.928,126.896,TR
146,2932850.057,423479.109,127.257,TR
147,2932835.648,423476.934,127.526,TR
148,2932834.02,423480.407,127.524,TR
149,2932831.495,423480.522,127.562,TR
150,2932817.257,423473.672,127.832,TR
151,2932815.66,423475.285,127.803,TR
152,2932811.363,423480.172,127.695,TR
153,2932809.578,423476.431,127.737,TR
154,2932812.055,423472.888,127.812,TR
155,2932807.501,423480.671,127.655,FH
156,2932823.782,423498.37,127.379,FH
157,2932832.598,423496.034,127.357,SL
158,2932817.993,423485.137,127.952,BE
159,2932812.103,423484.566,127.978,BE
160,2932815.365,423473.284,126.422,GR
161,2932815.151,423473.421,126.416,GR
162,2932813.59,423472.491,126.405,GR
163,2932820.26,423471.074,126.369,GR
164,2932821.471,423471.521,126.357,GR
165,2932821.037,423472.394,126.362,GR
166,2932819.797,423472.095,126.368,GR
P4,2932946.26,423456.974,128.033,CP4
167,2932933.558,423454.98,128.144,TR
168,2932926.064,423463.968,128.197,TR
169,2932923.884,423464.983,128.21,TR
170,2932937.525,423466.898,128.145,TR
171,2932942.305,423461.739,128.132,TR
172,2932932.542,423480.364,128.416,TR
173,2932943.151,423465.342,128.138,TR
174,2932945.063,423465.361,127.667,SL
175,2932951.514,423526.807,127.256,SL
176,2932927.844,423468.472,128.079,BE
177,2932880.528,423473.549,128.085,BE
178,2932937.75,423458.671,126.533,GR
179,2932937.388,423457.494,126.496,GR
180,2932936.067,423458.213,126.529,GR
181,2932932.881,423458.6,126.521,GR
182,2932931.233,423458.8,126.52,GR
183,2932930.274,423461.226,126.479,GR
184,2932930.722,423462.85,126.481,GR
185,2932926.773,423468.407,126.489,GR
187,2932934.059,423492.93,128.224,BE
188,2932931.672,423509.79,128.118,BE
P5,2932943.403,423610.53,127.855,CP5
P1,2932774.461,423575.89,128.239,CP1
P2,2932782.271,423474.335,128.221,CP2
201,2932769.458,423568.966,128.269,TR
202,2932777.598,423565.178,128.276,TR
203,2932776.397,423574.463,128.247,TR
204,2932777.735,423562.817,128.284,TR
205,2932777.715,423560.784,128.293,TR
206,2932777.114,423583.103,128.266,TR
207,2932770.731,423576.343,128.269,CE
208,2932770.435,423579.3,128.24,CE
209,2932776.675,423576.896,128.239,CE
210,2932777.088,423579.307,128.239,CE
211,2932782.652,423576.352,127.328,EB
212,2932773.076,423571.273,126.895,GR
213,2932775.292,423570.815,126.805,GR
214,2932777.872,423572.291,126.856,GR
215,2932779.276,423575.495,126.892,GR
216,2932776.3,423571.118,126.813,GR
217,2932774.19,423567.993,126.878,GR
218,2932773.579,423550.226,126.736,GR
219,2932787.186,423575.808,126.776,BE
220,2932787.436,423561.758,126.909,BE
P7,2932826.84,423581.681,128.116,CP7
P6,2932860.995,423561.674,128.022,CP6
221,2932830.337,423574.862,128.165,TR
222,2932834.049,423574.254,127.706,TR
223,2932834.051,423574.263,127.742,TR
224,2932837.876,423552.864,127.18,TR
225,2932827.317,423579.795,127.992,CE
226,2932835.267,423581.124,127.879,CE
227,2932835.776,423578.306,126.878,CE
228,2932821.486,423575.134,128.234,BE
229,2932826.587,423538.694,128.029,BE
230,2932830.34,423578.839,126.733,GR
231,2932833.203,423577.66,126.734,GR
232,2932830.317,423582.602,126.653,GR
233,2932862.72,423563.302,126.418,GR
234,2932828.993,423576.301,126.717,GR
235,2932824.61,423571.919,126.754,GR
236,2932857.491,423567.787,127.814,TR
237,2932862.604,423563.699,127.87,TR
238,2932872.511,423561.082,127.759,TR
239,2932876.036,423562.621,127.715,TR
240,2932892.303,423569.864,127.5,TR
241,2932906.48,423546.873,127.308,TR
242,2932859.13,423558.94,127.861,TR
243,2932851.06,423564.098,127.82,TR
244,2932849.985,423572.407,127.778,TR
245,2932861.638,423557.905,127.871,SL
246,2932845.725,423577.433,126.697,BE
247,2932854.31,423581.582,127.028,BE
248,2932843.837,423570.473,126.609,GR
249,2932856.691,423564.285,126.568,GR
250,2932860.92,423567.448,126.392,GR
251,2932865.387,423558.483,126.483,GR
252,2932864.639,423557.709,126.493,GR
253,2932855.712,423559.327,126.389,GR
254,2932844.851,423554.57,127.076,GR
P5,2932943.403,423610.53,127.855,CP
P4,2932946.26,423456.974,128.033,CP
255,2932940.656,423596.564,127.318,SL
256,2932939.077,423587.494,127.499,SL
257,2932941.311,423564.494,127.831,TR
258,2932942.508,423557.021,127.987,TR
259,2932944.133,423595.009,126.612,TR
260,2932949.298,423568.568,127.422,SL
261,2932940.452,423570.129,127.41,TR
262,2932941.285,423564.508,127.445,TR
263,2932929.949,423575.338,127.704,BE
264,2932927.505,423600.396,128.016,BE
265,2932927.506,423600.397,128.016,SL
266,2932942.875,423607,125.994,SL
267,2932943.286,423606.982,126.003,GR
268,2932944.096,423607.155,126.05,GR
269,2932944.147,423606.908,126.05,GR
270,2932944.209,423606.605,126.051,GR
271,2932944.279,423606.265,126.051,GR
272,2932944.702,423604.209,126.058,GR
273,2932944.898,423603.256,126.064,GR
274,2932946.619,423594.878,126.055,GR
275,2932947.839,423588.948,126.1,GR
276,2932963.622,423512.172,126.344,GR
