Point Name,Northing (Y),Easting (X),Elevation (Z),Point Code
110,2932787.158,423490.642,127.988,BE
111,2932787.114,423505.943,127.981,BE
112,2932787.001,423511.006,127.938,BE
158,2932817.993,423485.137,127.952,BE
159,2932812.103,423484.566,127.978,BE
176,2932927.844,423468.472,128.079,BE
177,2932880.528,423473.549,128.085,BE
187,2932934.059,423492.93,128.224,BE
188,2932931.672,423509.79,128.118,BE
219,2932787.186,423575.808,126.776,BE
220,2932787.436,423561.758,126.909,BE
228,2932821.486,423575.134,128.234,BE
229,2932826.587,423538.694,128.029,BE
246,2932845.725,423577.433,126.697,BE
247,2932854.31,423581.582,127.028,BE
263,2932929.949,423575.338,127.704,BE
264,2932927.505,423600.396,128.016,BE
301,2932903.41,423554.04,128.118,BE
