Point Name,Northing (Y),Easting (X),Elevation (Z),Point Code
113,2932786.945,423484.155,126.542,GR
114,2932787.094,423485.497,126.505,GR
115,2932793.078,423479.877,126.507,GR
116,2932785.76,423488.995,126.687,GR
117,2932780.283,423480.746,126.723,GR
118,2932789.096,423473.821,126.691,GR
119,2932788.869,423472.717,126.702,GR
160,2932815.365,423473.284,126.422,GR
161,2932815.151,423473.421,126.416,GR
162,2932813.59,423472.491,126.405,GR
163,2932820.26,423471.074,126.369,GR
164,2932821.471,423471.521,126.357,GR
165,2932821.037,423472.394,126.362,GR
166,2932819.797,423472.095,126.368,GR
178,2932937.75,423458.671,126.533,GR
179,2932937.388,423457.494,126.496,GR
180,2932936.067,423458.213,126.529,GR
181,2932932.881,423458.6,126.521,GR
182,2932931.233,423458.8,126.52,GR
183,2932930.274,423461.226,126.479,GR
184,2932930.722,423462.85,126.481,GR
185,2932926.773,423468.407,126.489,GR
212,2932773.076,423571.273,126.895,GR
213,2932775.292,423570.815,126.805,GR
214,2932777.872,423572.291,126.856,GR
215,2932779.276,423575.495,126.892,GR
216,2932776.3,423571.118,126.813,GR
217,2932774.19,423567.993,126.878,GR
218,2932773.579,423550.226,126.736,GR
230,2932830.34,423578.839,126.733,GR
231,2932833.203,423577.66,126.734,GR
232,2932830.317,423582.602,126.653,GR
233,2932862.72,423563.302,126.418,GR
234,2932828.993,423576.301,126.717,GR
235,2932824.61,423571.919,126.754,GR
248,2932843.837,423570.473,126.609,GR
249,2932856.691,423564.285,126.568,GR
250,2932860.92,423567.448,126.392,GR
251,2932865.387,423558.483,126.483,GR
252,2932864.639,423557.709,126.493,GR
253,2932855.712,423559.327,126.389,GR
254,2932844.851,423554.57,127.076,GR
267,2932943.286,423606.982,126.003,GR
268,2932944.096,423607.155,126.05,GR
269,2932944.147,423606.908,126.05,GR
270,2932944.209,423606.605,126.051,GR
271,2932944.279,423606.265,126.051,GR
272,2932944.702,423604.209,126.058,GR
273,2932944.898,423603.256,126.064,GR
274,2932946.619,423594.878,126.055,GR
275,2932947.839,423588.948,126.1,GR
276,2932963.622,423512.172,126.344,GR
