Point Name,Northing (Y),Easting (X),Elevation (Z),Point Code
101,2932780.062,423511.995,128.176,TR
102,2932782.074,423517.943,128.162,TR
103,2932787.387,423481.481,127.363,TR
104,2932786.648,423478.227,127.66,TR
105,2932791.207,423476.981,127.308,TR
139,2932861.205,423467.261,126.906,TR
140,2932852.807,423468.287,127.086,TR
141,2932852.144,423468.965,127.126,TR
142,2932844.703,423469.78,127.325,TR
143,2932849.559,423470.55,127.225,TR
144,2932834.9,423472.669,127.522,TR
145,2932863.942,423481.928,126.896,TR
146,2932850.057,423479.109,127.257,TR
147,2932835.648,423476.934,127.526,TR
148,2932834.02,423480.407,127.524,TR
149,2932831.495,423480.522,127.562,TR
150,2932817.257,423473.672,127.832,TR
151,2932815.66,423475.285,127.803,TR
152,2932811.363,423480.172,127.695,TR
153,2932809.578,423476.431,127.737,TR
154,2932812.055,423472.888,127.812,TR
167,2932933.558,423454.98,128.144,TR
168,2932926.064,423463.968,128.197,TR
169,2932923.884,423464.983,128.21,TR
170,2932937.525,423466.898,128.145,TR
171,2932942.305,423461.739,128.132,TR
172,2932932.542,423480.364,128.416,TR
173,2932943.151,423465.342,128.138,TR
201,2932769.458,423568.966,128.269,TR
202,2932777.598,423565.178,128.276,TR
203,2932776.397,423574.463,128.247,TR
204,2932777.735,423562.817,128.284,TR
205,2932777.715,423560.784,128.293,TR
206,2932777.114,423583.103,128.266,TR
221,2932830.337,423574.862,128.165,TR
222,2932834.049,423574.254,127.706,TR
223,2932834.051,423574.263,127.742,TR
224,2932837.876,423552.864,127.18,TR
236,2932857.491,423567.787,127.814,TR
237,2932862.604,423563.699,127.87,TR
238,2932872.511,423561.082,127.759,TR
239,2932876.036,423562.621,127.715,TR
240,2932892.303,423569.864,127.5,TR
241,2932906.48,423546.873,127.308,TR
242,2932859.13,423558.94,127.861,TR
243,2932851.06,423564.098,127.82,TR
244,2932849.985,423572.407,127.778,TR
257,2932941.311,423564.494,127.831,TR
258,2932942.508,423557.021,127.987,TR
259,2932944.133,423595.009,126.612,TR
261,2932940.452,423570.129,127.41,TR
262,2932941.285,423564.508,127.445,TR
